City,Date,PM2.5,PM10,NO2,NH3,SO2,CO,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Region
Ahmedabad,2015-01-01,119.5,279.64,61.06,24.26,7.03,3.07,20.3,4.07,15.99,5.67,298.0,Poor,West
Ahmedabad,2015-01-02,,382.57,34.45,,23.76,3.36,66.35,,8.05,5.58,343.0,Very Poor,West
Ahmedabad,2015-01-03,101.9,181.12,54.02,14.14,,1.63,,3.3,5.89,2.95,238.0,Poor,West
Ahmedabad,2015-01-04,139.1,306.09,59.91,34.31,4.54,3.29,56.45,2.78,23.56,4.22,315.0,Very Poor,West
Ahmedabad,2015-01-05,129.2,294.8,61.0,32.92,17.33,3.87,19.06,5.1,23.59,3.3,307.0,Very Poor,West
Ahmedabad,2015-01-06,142.5,291.03,44.43,43.88,31.42,2.55,63.02,5.82,12.76,5.45,318.0,Very Poor,West
Ahmedabad,2015-01-07,118.8,203.93,45.21,27.09,12.99,2.13,22.5,3.66,13.83,1.52,,,West
Ahmedabad,2015-01-08,99.5,171.19,40.1,20.02,5.88,1.31,34.1,2.91,10.16,4.23,230.0,Poor,West
Ahmedabad,2015-01-09,129.7,189.23,45.36,34.07,14.03,1.94,63.0,,8.3,1.72,308.0,Very Poor,West
Ahmedabad,2015-01-10,161.6,230.74,54.26,31.2,24.3,2.21,32.11,6.67,31.16,2.31,332.0,Very Poor,West
Ahmedabad,2015-01-11,109.7,260.11,35.31,20.0,14.27,2.26,36.87,4.81,3.74,1.98,265.0,Poor,West
Ahmedabad,2015-01-12,149.1,199.36,42.01,43.38,22.09,2.6,60.43,6.43,9.66,3.44,,,West
Ahmedabad,2015-01-13,98.3,235.31,25.19,22.69,18.09,,32.68,7.92,5.19,3.05,226.0,Poor,West
Ahmedabad,2015-01-14,109.1,277.21,44.79,18.08,22.52,2.05,18.86,3.36,17.13,2.42,,,West
Ahmedabad,2015-01-15,115.9,236.41,19.41,,16.37,3.23,66.69,2.15,5.29,5.0,286.0,Poor,West
Ahmedabad,2015-01-16,106.3,203.98,36.1,2.52,14.06,,54.56,3.03,8.27,,253.0,Poor,West
Ahmedabad,2015-01-17,144.7,206.56,,49.18,27.33,2.11,38.17,4.31,8.03,2.05,319.0,Very Poor,West
Ahmedabad,2015-01-18,121.5,165.07,68.53,12.06,3.81,2.82,30.94,,11.04,1.98,301.0,Very Poor,West
Ahmedabad,2015-01-19,122.0,263.13,65.54,22.45,20.33,2.25,37.12,2.61,11.32,1.1,302.0,Very Poor,West
Ahmedabad,2015-01-20,98.6,173.0,17.79,16.78,11.59,2.34,15.36,3.45,12.31,,227.0,Poor,West
Ahmedabad,2015-01-21,128.0,,48.36,24.21,19.26,1.83,,3.0,10.0,3.23,306.0,Very Poor,West
Ahmedabad,2015-01-22,125.6,229.61,53.22,37.86,16.61,1.92,36.96,5.87,4.45,3.93,305.0,Very Poor,West
Ahmedabad,2015-01-23,110.7,260.69,48.96,30.85,20.67,3.13,52.25,2.18,15.61,0.78,268.0,Poor,West
Ahmedabad,2015-01-24,96.2,162.99,,18.59,8.22,2.06,23.21,,9.11,0.96,,,West
Ahmedabad,2015-01-25,148.1,191.07,40.25,35.5,35.97,1.23,42.03,0.0,12.36,1.95,322.0,Very Poor,West
Ahmedabad,2015-01-26,123.5,303.37,62.41,26.05,21.87,2.69,25.2,4.25,15.93,8.41,303.0,Very Poor,West
Ahmedabad,2015-01-27,152.3,342.56,34.88,38.33,32.72,3.81,79.67,,23.96,0.5,325.0,Very Poor,West
Ahmedabad,2015-01-28,160.0,365.71,86.91,39.89,27.34,4.21,53.53,3.69,8.61,3.59,331.0,Very Poor,West
Ahmedabad,2015-01-29,104.1,189.19,59.77,37.13,13.13,3.13,34.64,3.11,13.1,1.57,246.0,Poor,West
Ahmedabad,2015-01-30,,283.51,52.62,30.93,15.33,2.26,43.55,5.62,14.42,3.62,285.0,Poor,West
Ahmedabad,2015-01-31,83.1,122.31,25.1,19.15,11.46,1.82,21.9,2.66,13.7,1.72,176.0,Moderate,West
Ahmedabad,2015-02-01,81.6,151.87,37.77,22.36,8.85,1.38,32.54,,9.34,1.19,171.0,Moderate,West
Ahmedabad,2015-02-02,130.5,244.79,51.89,21.16,13.45,1.61,17.48,2.71,16.78,3.5,308.0,Very Poor,West
Ahmedabad,2015-02-03,140.6,266.98,36.71,37.28,20.09,2.91,28.52,4.22,19.78,1.34,,,West
Ahmedabad,2015-02-04,81.6,170.03,27.32,23.92,10.36,1.21,31.03,2.89,8.66,0.9,171.0,Moderate,West
Ahmedabad,2015-02-05,148.0,,84.44,17.19,27.75,,46.83,1.33,16.37,0.26,322.0,Very Poor,West
Ahmedabad,2015-02-06,,253.63,44.35,25.05,23.72,2.49,67.41,3.4,17.48,2.46,270.0,Poor,West
Ahmedabad,2015-02-07,128.4,194.86,48.63,28.62,16.37,1.13,55.33,4.46,14.09,4.59,307.0,Very Poor,West
Ahmedabad,2015-02-08,119.0,227.16,50.6,22.22,14.57,1.66,0.66,2.4,4.12,0.6,297.0,Poor,West
Ahmedabad,2015-02-09,105.0,290.07,31.21,29.03,5.15,2.47,47.94,1.88,7.99,1.34,249.0,Poor,West
Ahmedabad,2015-02-10,130.7,277.96,65.78,29.83,8.68,1.88,21.32,2.87,10.34,2.39,308.0,Very Poor,West
Ahmedabad,2015-02-11,116.3,170.28,58.65,,14.45,2.09,32.92,3.47,15.01,2.55,287.0,Poor,West
Ahmedabad,2015-02-12,125.2,,44.52,15.42,26.62,3.2,68.04,3.47,15.52,2.07,,,West
Ahmedabad,2015-02-13,133.0,334.93,76.98,32.23,,3.32,50.49,5.71,9.36,0.74,310.0,Very Poor,West
Ahmedabad,2015-02-14,127.8,,35.95,22.62,23.87,2.3,25.3,1.74,,2.33,306.0,Very Poor,West
Ahmedabad,2015-02-15,93.3,165.06,19.62,12.88,16.87,1.11,27.0,3.35,15.57,3.35,209.0,Poor,West
Ahmedabad,2015-02-16,131.5,224.84,41.97,27.0,35.07,3.26,46.21,5.13,22.89,,309.0,Very Poor,West
Ahmedabad,2015-02-17,118.8,233.88,40.81,26.33,19.18,,66.56,3.07,14.16,1.14,296.0,Poor,West
Ahmedabad,2015-02-18,115.2,180.51,54.05,42.64,22.54,2.19,57.53,1.36,14.86,6.27,,,West
Ahmedabad,2015-02-19,125.3,245.16,48.13,32.5,17.7,2.31,42.11,1.1,17.92,4.6,304.0,Very Poor,West
Ahmedabad,2015-02-20,130.1,250.87,59.36,34.92,16.66,3.77,62.26,6.76,16.03,0.75,308.0,Very Poor,West
Ahmedabad,2015-02-21,68.9,110.42,19.31,13.71,4.98,0.82,3.73,0.78,5.0,0.98,128.0,Moderate,West
Ahmedabad,2015-02-22,136.1,223.87,28.87,25.23,19.32,0.71,61.59,4.92,20.26,3.41,,,West
Ahmedabad,2015-02-23,105.3,212.22,,31.42,10.93,2.49,55.05,4.15,11.69,,250.0,Poor,West
Ahmedabad,2015-02-24,,,31.37,18.23,15.99,1.56,24.64,4.79,12.63,3.82,231.0,Poor,West
Ahmedabad,2015-02-25,111.2,174.63,71.58,31.53,12.69,3.02,43.13,6.2,13.25,2.1,270.0,Poor,West
Ahmedabad,2015-02-26,118.5,276.86,39.9,28.88,9.86,2.93,43.54,5.48,18.59,1.9,295.0,Poor,West
Ahmedabad,2015-02-27,116.2,245.14,40.91,19.54,25.68,2.19,34.73,3.7,,2.12,287.0,Poor,West
Ahmedabad,2015-02-28,96.1,170.49,40.36,22.3,9.2,1.19,18.03,3.38,10.93,1.49,218.0,Poor,West
Ahmedabad,2015-03-01,100.4,142.5,35.22,24.68,9.38,2.42,17.82,1.97,8.56,2.21,,,West
Ahmedabad,2015-03-02,105.8,224.28,46.9,34.41,15.61,2.06,44.18,0.76,4.35,3.68,251.0,Poor,West
